"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.863599400E-2,-3.071786165E-1,-9.814760208E0,2.967100143E-1
4.112563000E-2,-4.028915167E-1,-9.860223770E0,4.486542661E-3
4.859458800E-2,-4.339981973E-1,-9.908080101E0,-1.226321608E-2
5.108422400E-2,-4.630111754E-1,-9.862616539E0,1.166501082E-2
5.357615100E-2,-3.981058598E-1,-9.841081619E0,-6.490531564E-2
5.606578600E-2,-4.196412563E-1,-9.802796364E0,-8.165507019E-2
5.855542100E-2,-4.486542344E-1,-9.812367439E0,-1.175474152E-1
6.104505700E-2,-4.869394004E-1,-9.812367439E0,-1.393819153E-1
6.353469200E-2,-4.869394004E-1,-9.790832520E0,-1.585244983E-1
6.602438000E-2,-4.749752879E-1,-9.781260490E0,-1.872383654E-1
6.851401500E-2,-4.462614357E-1,-9.764211655E0,-2.327020019E-1
7.100370300E-2,-4.366901219E-1,-9.742676735E0,-2.590230405E-1
7.349333800E-2,-3.933202326E-1,-9.749855042E0,-2.422732860E-1
7.598302600E-2,-3.813561201E-1,-9.781260490E0,-2.231307179E-1
7.847266100E-2,-3.789632916E-1,-9.745069504E0,-2.087737769E-1
8.096229600E-2,-3.693920076E-1,-9.778867722E0,-1.489532143E-1
8.345198400E-2,-3.598206937E-1,-9.805189133E0,-1.298106313E-1
8.594161900E-2,-3.502494097E-1,-9.764211655E0,-1.175474152E-1
8.838917100E-2,-3.311068416E-1,-9.793225288E0,-9.122636169E-2
9.087880700E-2,-3.406781256E-1,-9.819545746E0,-1.175474152E-1
9.336844200E-2,-3.430709541E-1,-9.860223770E0,-9.361918271E-2
9.585813000E-2,-3.430709541E-1,-9.865009308E0,-9.840483218E-2
9.834776500E-2,-3.909274042E-1,-9.872187614E0,-6.011966988E-2
1.008374010E-1,-3.981058598E-1,-9.886545181E0,-2.991028305E-4
1.033270880E-1,-3.717848063E-1,-9.884152412E0,4.277170449E-2
1.058167240E-1,-3.933202326E-1,-9.874580383E0,9.302098304E-2
1.083063590E-1,-3.502494097E-1,-9.874580383E0,1.193420291E-1
1.107960460E-1,-3.598206937E-1,-9.874580383E0,1.531406492E-1
1.132856820E-1,-3.287140131E-1,-9.879366875E0,2.009970993E-1
1.157753690E-1,-3.215355575E-1,-9.891330719E0,2.105683982E-1
1.181850050E-1,-3.646063507E-1,-9.886545181E0,1.866401732E-1
1.206746400E-1,-3.981058598E-1,-9.908080101E0,2.057827413E-1
1.231642760E-1,-3.861417472E-1,-9.881759644E0,2.153540403E-1
1.256539630E-1,-3.813561201E-1,-9.824331284E0,2.057827413E-1
1.281435990E-1,-3.454637825E-1,-9.874580383E0,2.201396823E-1
1.306332340E-1,-3.215355575E-1,-9.865009308E0,2.249253243E-1
1.331229210E-1,-3.215355575E-1,-9.836296082E0,2.321037948E-1
1.356125570E-1,-3.478565812E-1,-9.824331284E0,2.105683982E-1
1.381021920E-1,-3.765704632E-1,-9.807581902E0,1.483550072E-1
1.405918800E-1,-3.933202326E-1,-9.819545746E0,8.105687052E-2
1.430815150E-1,-4.438686073E-1,-9.814760208E0,-5.084747914E-3
1.455712030E-1,-4.339981973E-1,-9.807581902E0,-5.054837838E-2
1.480207860E-1,-4.414757788E-1,-9.788438797E0,-8.883354068E-2
1.505104210E-1,-4.339981973E-1,-9.781260490E0,-1.465603858E-1
1.530000570E-1,-4.773681164E-1,-9.776474953E0,-1.728814393E-1
1.554897440E-1,-5.850451589E-1,-9.795618057E0,-3.523431420E-1
1.579793800E-1,-5.228317380E-1,-9.783653259E0,-3.116651475E-1
1.604690150E-1,-4.148556292E-1,-9.764211655E0,-1.968096644E-1
1.629587030E-1,-4.510470629E-1,-9.718748093E0,-1.657029688E-1
1.654483380E-1,-4.677968323E-1,-9.733105659E0,-7.208377868E-2
1.679379740E-1,-4.148556292E-1,-9.742676735E0,-4.576273263E-2
1.704276610E-1,-3.885345757E-1,-9.754640579E0,-6.011966988E-2
1.729172960E-1,-3.382852972E-1,-9.795618057E0,-4.097708687E-2
1.754069840E-1,-2.952145040E-1,-9.829116821E0,-6.729813665E-2
1.778143800E-1,-2.377867550E-1,-9.783653259E0,-9.601201117E-2
1.803040150E-1,-1.633101404E-1,-9.829116821E0,-1.127617657E-1
1.827936510E-1,-1.322034448E-1,-9.807581902E0,-1.103689447E-1
1.852833380E-1,-4.606183618E-2,-9.774082184E0,-1.441675574E-1
1.877729740E-1,-2.691925503E-2,-9.807581902E0,-1.199402362E-1
1.902626090E-1,4.187439568E-3,-9.833903313E0,-1.199402362E-1
1.927522960E-1,4.486542568E-2,-9.819545746E0,-1.226321608E-1
1.952419320E-1,4.007977992E-2,-9.824331284E0,-1.103689447E-1
1.977315670E-1,6.580262445E-3,-9.841081619E0,-1.776670814E-1
2.002212550E-1,-2.452643216E-2,-9.869794846E0,-2.159522474E-1
2.027108900E-1,-1.058823988E-1,-9.908080101E0,-2.542374134E-1
2.052005780E-1,-2.114657015E-1,-9.958329201E0,-2.590230405E-1
2.076278170E-1,-3.191427290E-1,-9.991828918E0,-2.997010350E-1
2.101174530E-1,-3.669991791E-1,-1.003250694E1,-3.020938635E-1
2.126070880E-1,-4.725824594E-1,-1.008544827E1,-2.973082066E-1
2.150967760E-1,-5.754738450E-1,-1.011176968E1,-2.398804724E-1
2.175864110E-1,-5.539384484E-1,-1.012373352E1,-1.322034448E-1
2.200760460E-1,-6.209374666E-1,-1.018116093E1,-1.103689447E-1
2.225657340E-1,-6.352944374E-1,-1.015962601E1,-6.729813665E-2
2.250553690E-1,-6.281159520E-1,-1.013091183E1,-2.901297435E-2
2.275450050E-1,-6.113662124E-1,-1.013330460E1,5.952146277E-2
2.300346920E-1,-6.185446382E-1,-1.011894798E1,1.507478207E-1
2.325243280E-1,-5.946164131E-1,-1.011894798E1,1.866401732E-1
2.350140150E-1,-5.204389095E-1,-1.013091183E1,1.842473447E-1
2.374470360E-1,-4.486542344E-1,-1.008544827E1,2.225325108E-1
2.399366710E-1,-4.124628007E-1,-1.004955578E1,2.129612118E-1
2.424263070E-1,-3.741776347E-1,-1.001097202E1,2.512463629E-1
2.449159940E-1,-3.885345757E-1,-1.005194855E1,1.651047617E-1
2.474056300E-1,-4.076771438E-1,-9.994221687E0,1.049850956E-1
2.498952650E-1,-4.292125702E-1,-9.984650612E0,6.669992954E-2
2.523849530E-1,-4.438686073E-1,-9.996614456E0,3.320041299E-2
2.548745880E-1,-4.941178858E-1,-9.958329201E0,5.712864175E-2
2.573642240E-1,-5.132604837E-1,-9.943972588E0,6.909275055E-2
2.598539110E-1,-5.419743061E-1,-9.872187614E0,4.277170449E-2
2.623435460E-1,-5.659025311E-1,-9.860223770E0,5.234299600E-2
2.648332340E-1,-7.169494629E-1,-9.853045464E0,1.265204996E-1
2.672617760E-1,-1.059422255E0,-9.939187050E0,1.097707376E-1
2.697514110E-1,-8.916255236E-1,-9.867402077E0,8.823533356E-2
2.722410460E-1,-8.509475589E-1,-9.819545746E0,8.344969153E-2
2.747307340E-1,-9.011968374E-1,-9.788438797E0,7.387840003E-2
2.772203690E-1,-8.437690735E-1,-9.766604424E0,8.584251255E-2
2.797100050E-1,-7.935197949E-1,-9.754640579E0,2.967100143E-1
2.821996920E-1,-7.313064337E-1,-9.761818886E0,2.536391914E-1
2.846893280E-1,-6.927221417E-1,-9.749855042E0,3.134597540E-1
2.871789630E-1,-6.400800347E-1,-9.757033348E0,2.799602449E-1
2.896686510E-1,-6.592226624E-1,-9.766604424E0,1.890329868E-1
2.921582860E-1,-7.767700553E-1,-9.809974670E0,1.456630826E-1
2.946479740E-1,-1.013958573E0,-9.893723488E0,2.362912335E-2
2.970803690E-1,-8.198408484E-1,-9.802796364E0,6.669992954E-2
2.995700050E-1,-7.360920906E-1,-9.733105659E0,1.097707376E-1
3.020596400E-1,-7.480561733E-1,-9.747462273E0,1.603191197E-1
3.045493280E-1,-6.975077987E-1,-9.747462273E0,1.408774406E-1
3.070389630E-1,-1.150349498E0,-9.807581902E0,4.037888348E-2
3.095285990E-1,-1.294217944E0,-9.809974670E0,-2.518445849E-1
3.120182860E-1,-9.924231768E-1,-9.709177017E0,1.579262912E-1
3.145079210E-1,-8.174480200E-1,-9.716355324E0,1.217348501E-1
3.169975570E-1,-6.544370055E-1,-9.656535149E0,3.254238665E-1
