"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.065198400E-2,4.230371118E-2,7.383823395E-2,-1.554566026E-1
8.558917100E-2,4.961940646E-2,3.862667084E-2,-6.411828101E-2
9.056844200E-2,6.427961588E-2,4.529762268E-2,-2.144619823E-2
9.554776500E-2,5.569624901E-2,-1.406097412E-2,-1.512753218E-2
1.005270880E-1,2.704074979E-2,-3.855991364E-2,1.566950232E-2
1.055063590E-1,8.103996515E-3,-5.035400391E-2,1.118150502E-1
1.104856820E-1,1.956903934E-2,-3.633785248E-2,1.866543144E-1
1.153850050E-1,4.378843307E-2,-3.581523895E-2,2.435028255E-1
1.203642760E-1,4.248732328E-2,-4.444885254E-2,2.520200312E-1
1.253435990E-1,-4.800021648E-3,-4.716014862E-2,2.516428530E-1
1.303229210E-1,2.403324842E-2,-1.624107361E-3,2.425953597E-1
1.353021920E-1,6.378695369E-2,-2.735137939E-3,2.466355264E-1
1.402815150E-1,2.349844575E-2,3.014850616E-2,1.896546334E-1
1.452207860E-1,-2.924138308E-2,2.735233307E-2,4.858346656E-2
1.502000570E-1,-4.416242242E-2,4.411506653E-2,-5.364838243E-2
1.551793800E-1,-5.714330077E-2,6.017875671E-2,-1.339552850E-1
1.601587030E-1,-1.463624537E-1,4.706764221E-2,-2.898881137E-1
1.651379740E-1,-2.226695418E-2,9.075355530E-2,-1.306112707E-1
1.701172960E-1,-2.749899030E-2,9.032630920E-2,-6.050541997E-3
1.750143800E-1,4.996642470E-2,5.098915100E-2,4.073731601E-3
1.799936510E-1,1.425594389E-1,1.902294159E-2,-2.432359755E-2
1.849729740E-1,2.519401312E-1,6.754875183E-3,-5.055385455E-2
1.899522960E-1,3.502742350E-1,3.307056427E-2,-6.654597819E-2
1.949315670E-1,3.962353468E-1,-2.739906311E-3,-5.175137520E-2
1.999108900E-1,3.803460002E-1,-8.398056030E-3,-6.960455328E-2
2.048278170E-1,2.803462148E-1,-6.255626678E-2,-1.528258175E-1
2.098070880E-1,7.585477829E-2,-1.441020966E-1,-1.879713386E-1
2.147864110E-1,-7.774430513E-2,-2.210168839E-1,-1.989040375E-1
2.197657340E-1,-2.167543173E-1,-2.714900970E-1,-7.946826518E-2
2.247450050E-1,-2.720437944E-1,-3.149662018E-1,1.980289817E-2
2.297243280E-1,-2.551823556E-1,-2.690210342E-1,1.228550225E-1
2.346470360E-1,-2.333745062E-1,-2.490282059E-1,2.704615295E-1
2.396263070E-1,-1.053229868E-1,-2.321023941E-1,2.981702089E-1
2.446056300E-1,-1.059323549E-2,-1.504268646E-1,3.190285563E-1
2.495849530E-1,-1.082608104E-2,-1.398239136E-1,2.165502757E-1
2.545642240E-1,-4.303908348E-2,-1.050539017E-1,1.280230135E-1
2.595435460E-1,-1.017044783E-1,-6.419563293E-2,1.373196691E-1
2.644617760E-1,-1.417971551E-1,2.009582520E-2,1.177951097E-1
2.694410460E-1,-4.567787051E-1,-9.967803955E-3,1.829204261E-1
2.744203690E-1,-4.201389849E-1,4.134750366E-2,1.456649303E-1
2.793996920E-1,-4.006922841E-1,1.043758392E-1,1.343133301E-1
2.843789630E-1,-2.719745636E-1,1.203336716E-1,3.187937140E-1
2.893582860E-1,-1.593908668E-1,1.218795776E-1,3.286277354E-1
2.942803690E-1,-1.927093267E-1,8.465862274E-2,1.902900487E-1
2.992596400E-1,-3.690471649E-1,2.349376678E-2,6.192050502E-2
3.042389630E-1,-1.754503250E-1,1.278839111E-1,1.438042969E-1
3.092182860E-1,-3.347387910E-1,8.808517456E-2,9.326630086E-2
3.141975570E-1,-5.267311931E-1,1.030359268E-1,-4.730639234E-2
3.191768800E-1,-1.007680297E-1,1.717901230E-1,2.154752612E-1
3.240937030E-1,2.034992576E-1,2.299785614E-1,3.530808389E-1
3.290729740E-1,4.599298537E-1,2.472686768E-1,3.455999494E-1
3.340522960E-1,6.464832425E-1,2.668085098E-1,2.383758128E-1
3.390316190E-1,6.667764783E-1,3.038787842E-1,6.180850416E-2
3.440108900E-1,6.496729851E-1,2.922706604E-1,-7.671929151E-2
3.489902130E-1,5.379686356E-1,3.211278915E-1,-3.021640480E-1
3.539096920E-1,4.855031371E-1,2.283773422E-1,-5.490118265E-1
3.588889630E-1,3.875947595E-1,1.750078201E-1,-6.841232181E-1
3.638682860E-1,4.076209068E-1,6.959342957E-2,-6.504677534E-1
3.688476090E-1,4.151309133E-1,-3.395080566E-3,-5.784137845E-1
3.738268800E-1,3.872210085E-1,-7.519340515E-2,-3.814105392E-1
3.788062030E-1,2.548693419E-1,-1.647348404E-1,-1.518879831E-1
3.837275050E-1,6.269973516E-2,-1.904211044E-1,5.774969608E-2
3.887067760E-1,-1.079121232E-1,-2.098674774E-1,1.923767924E-1
3.936860990E-1,-2.556229830E-1,-2.208414078E-1,1.961985826E-1
3.986654210E-1,-3.690939546E-1,-2.211008072E-1,1.412321925E-1
4.036446920E-1,-3.578476310E-1,-2.167062759E-1,1.132346019E-1
4.086240150E-1,-2.565786839E-1,-1.970949173E-1,7.628981024E-2
4.135444320E-1,-1.152246594E-1,-1.766242981E-1,4.695545137E-2
4.185237030E-1,-1.932770014E-2,-1.978330612E-1,2.847095579E-2
4.235030260E-1,1.492339373E-2,-2.057914734E-1,3.706233948E-2
4.284823490E-1,2.527761459E-2,-2.172393799E-1,1.346693039E-1
4.334616190E-1,-4.117870331E-2,-2.746858597E-1,2.431928813E-1
4.384409420E-1,-1.252939105E-1,-3.220043182E-1,2.564337254E-1
4.433580780E-1,-2.548170090E-1,-3.759193420E-1,2.416206896E-1
4.483373490E-1,-3.250845671E-1,-4.481973648E-1,1.898341179E-1
4.533166710E-1,-2.754148245E-1,-4.014081955E-1,1.834604144E-1
4.582959940E-1,-2.480957508E-1,-3.943395615E-1,1.246176884E-1
4.632752650E-1,-1.671959162E-1,-3.744421005E-1,1.052842885E-1
4.682545880E-1,-5.352240801E-2,-2.708492279E-1,1.108154133E-1
4.731747960E-1,9.220588207E-2,-2.087736130E-1,1.053382605E-1
4.781540670E-1,2.506351769E-1,-1.439065933E-1,6.293059886E-2
4.831333900E-1,3.562850356E-1,-7.742977142E-2,7.882950455E-2
4.881127130E-1,4.004418552E-1,-6.026935577E-2,-4.547089338E-4
4.930919840E-1,3.708049953E-1,-5.989074707E-2,2.967453003E-2
4.980713070E-1,3.464073837E-1,-3.939342499E-2,1.124143079E-1
5.029702650E-1,3.907659054E-1,-3.568935394E-2,1.772407591E-1
5.079495360E-1,4.500726461E-1,-4.387092590E-2,2.018448412E-1
5.129288590E-1,5.013915300E-1,-4.246997833E-2,1.832025647E-1
5.179081820E-1,3.469288647E-1,-7.898521423E-2,6.249672174E-2
5.228874530E-1,2.223929763E-1,-7.244682312E-2,3.631053120E-2
5.278667760E-1,2.446565032E-1,-8.847999573E-2,7.272921503E-2
5.328088070E-1,1.964703202E-1,-6.047534943E-2,5.852963030E-2
5.377880780E-1,1.697449684E-1,-2.918052673E-2,3.836478293E-2
5.427674010E-1,1.463168859E-1,3.018379211E-3,5.126626790E-2
5.477467240E-1,1.193233728E-1,3.135681152E-2,1.045944542E-2
5.527259940E-1,8.355641365E-2,3.337478638E-2,-1.577703655E-2
5.577053170E-1,8.659100533E-2,-6.089210510E-3,-1.259705722E-1
5.626234420E-1,-1.515424252E-2,-1.786708832E-2,-2.502170503E-1
5.676007340E-1,-8.412235975E-2,-6.036186218E-2,-2.236597985E-1
5.725780260E-1,-7.795846462E-2,-6.922340393E-2,-1.487757415E-1
5.775553690E-1,-3.201448917E-2,-6.729698181E-2,-5.799457431E-3
5.825327130E-1,-1.782381535E-2,-5.349731445E-2,1.594150364E-1
5.875099530E-1,9.069281816E-2,-4.201889038E-3,3.171725869E-1
5.924409420E-1,1.632532179E-1,5.654239655E-2,3.734505177E-1
