Framenumber;Time [s];Video pixel (X) [px];Video pixel (Y) [px];X position [px];Y position [px];Distance [px];Distance in x-direction [px];Distance in y-direction [px];Length [px];Length in x-Direction [px];Length in y-Direction [px];Velocity [px/s];Velocity in x-direction [px/s];Velocity in y-direction [px/s];Acceleration [px/s²];Acceleration in x-Direction [px/s²];Acceleration in y-Direction [px/s²];
1;0.02;933;367;933;367;1;0;1;1;0;1;10;0;10;0;0;-200;
7;0.12;933;368;933;368;1;0;-1;2;0;0;10;0;-10;-100;0;100;
12;0.22;933;367;933;367;0;0;0;2;0;0;0;0;0;0;0;0;
17;0.32;933;367;933;367;0;0;0;2;0;0;0;0;0;100;100;0;
22;0.42;933;367;933;367;1;1;0;3;1;0;10;10;0;-100;-100;0;
27;0.52;934;367;934;367;0;0;0;3;1;0;0;0;0;100;0;-100;
32;0.62;934;367;934;367;1;0;-1;4;1;-1;10;0;-10;0;-100;100;
37;0.72;934;366;934;366;1;-1;0;5;0;-1;10;-10;0;-100;100;0;
42;0.82;933;366;933;366;0;0;0;5;0;-1;0;0;0;0;0;0;
47;0.92;933;366;933;366;0;0;0;5;0;-1;0;0;0;100;100;0;
52;1.02;933;366;933;366;1;1;0;6;1;-1;10;10;0;0;-200;0;
57;1.12;934;366;934;366;1;-1;0;7;0;-1;10;-10;0;41.42;200;100;
62;1.22;933;366;933;366;1.41;1;1;8.41;1;0;14.14;10;10;-41.42;-200;-100;
67;1.32;934;367;934;367;1;-1;0;9.41;0;0;10;-10;0;-100;100;0;
72;1.42;933;367;933;367;0;0;0;9.41;0;0;0;0;0;141.42;100;-100;
77;1.52;933;367;933;367;1.41;1;-1;10.83;1;-1;14.14;10;-10;-141.42;-100;100;
82;1.62;934;366;934;366;0;0;0;10.83;1;-1;0;0;0;100;0;100;
87;1.72;934;366;934;366;1;0;1;11.83;1;0;10;0;10;0;0;-200;
92;1.82;934;367;934;367;1;0;-1;12.83;1;-1;10;0;-10;-100;0;100;
