Framenumber;Time [s];Video pixel (X) [px];Video pixel (Y) [px];X position [px];Y position [px];Distance [px];Distance in x-direction [px];Distance in y-direction [px];Length [px];Length in x-Direction [px];Length in y-Direction [px];Velocity [px/s];Velocity in x-direction [px/s];Velocity in y-direction [px/s];Acceleration [px/s²];Acceleration in x-Direction [px/s²];Acceleration in y-Direction [px/s²];
2;0.04;219;377;219;377;20;20;0;20;20;0;250;250;0;159.97;156.25;-156.25;
4;0.12;239;377;239;377;21.02;21;-1;41.02;41;-1;262.8;262.5;-12.5;-144.38;-156.25;-156.25;
6;0.2;260;376;260;376;10.05;10;-1;51.07;51;-2;251.25;250;-25;-932.03;-937.5;1250;
7;0.24;270;375;270;375;17.12;17;2;68.19;68;0;213.97;212.5;25;777.11;781.25;-625;
9;0.32;287;377;287;377;22.09;22;-2;90.28;90;-2;276.13;275;-25;-311.09;-312.5;0;
11;0.4;309;375;309;375;10.05;10;-1;100.33;100;-3;251.25;250;-25;281.33;312.5;625;
12;0.44;319;374;319;374;21;21;0;121.33;121;-3;262.5;262.5;0;-451.44;-468.75;-312.5;
14;0.52;340;374;340;374;18.11;18;-2;139.44;139;-5;226.38;225;-25;0;0;0;
16;0.6;358;372;358;372;9.06;9;-1;148.5;148;-6;226.38;225;-25;969.51;937.5;1562.5;
17;0.64;367;371;367;371;21.21;21;3;169.71;169;-3;265.17;262.5;37.5;-244.74;-312.5;-1250;
19;0.72;388;374;388;374;19.65;19;-5;189.36;188;-8;245.59;237.5;-62.5;117.06;156.25;1406.25;
21;0.8;407;369;407;369;10.2;10;2;199.56;198;-6;254.95;250;50;-428.06;-312.5;-1562.5;
22;0.84;417;371;417;371;19.03;19;-1;218.58;217;-7;237.83;237.5;-12.5;152.14;156.25;156.25;
24;0.92;436;370;436;370;20;20;0;238.58;237;-7;250;250;0;0;0;0;
26;1;456;370;456;370;10;10;0;248.58;247;-7;250;250;0;319.94;312.5;-312.5;
27;1.04;466;370;466;370;21.02;21;-1;269.61;268;-8;262.8;262.5;-12.5;-299.82;-312.5;468.75;
29;1.12;487;369;487;369;19.1;19;2;288.71;287;-6;238.81;237.5;25;155.43;156.25;-625;
31;1.2;506;371;506;371;10.05;10;-1;298.76;297;-7;251.25;250;-25;126.98;156.25;468.75;
32;1.24;516;370;516;370;41.01;41;-1;339.77;338;-8;256.33;256.25;-6.25;-508.29;-507.81;39.06;
36;1.4;557;369;557;369;7;7;0;346.77;345;-8;175;175;0;1875;1875;0;
37;1.44;564;369;564;369;40;40;0;386.77;385;-8;250;250;0;0;0;0;
41;1.6;604;369;604;369;10;10;0;396.77;395;-8;250;250;0;1.95;0;-156.25;
42;1.64;614;369;614;369;40.01;40;-1;436.79;435;-9;250.08;250;-6.25;-303.26;-312.5;195.31;
46;1.8;654;368;654;368;8.06;8;1;444.85;443;-8;201.56;200;25;1384.47;1406.25;-1093.75;
47;1.84;662;369;662;369;41.11;41;-3;485.96;484;-11;256.94;256.25;-18.75;119.99;117.19;-39.06;
51;2;703;366;703;366;11.05;11;-1;497;495;-12;276.13;275;-25;-963.8;-937.5;468.75;
52;2.04;714;365;714;365;38.01;38;-1;535.02;533;-13;237.58;237.5;-6.25;396.61;390.62;195.31;
56;2.2;752;364;752;364;12.04;12;1;547.06;545;-12;301.04;300;25;-2055.01;-2031.25;-781.25;
57;2.24;764;365;764;365;35.01;35;-1;582.07;580;-13;218.84;218.75;-6.25;669.51;664.06;195.31;
61;2.4;799;364;799;364;13.04;13;1;595.11;593;-12;325.96;325;25;-7680.25;-7656.25;-625;
62;2.44;812;365;812;365;3;3;0;598.11;596;-12;18.75;18.75;0;39.06;39.06;0;
66;2.6;815;365;815;365;1;1;0;599.11;597;-12;25;25;0;171.72;156.25;156.25;
67;2.64;816;365;816;365;5.1;5;1;604.21;602;-11;31.87;31.25;6.25;21.79;-39.06;-195.31;
71;2.8;821;366;821;366;1.41;1;-1;605.62;603;-12;35.36;25;-25;53.62;312.5;625;
72;2.84;822;365;822;365;6;6;0;611.62;609;-12;37.5;37.5;0;328.99;234.38;-312.5;
76;3;828;365;828;365;3.61;3;-2;615.23;612;-14;90.14;75;-50;-748.27;-375;1125;
77;3.04;831;363;831;363;12.04;12;-1;627.27;624;-15;60.21;60;-5;36.69;37.5;37.5;
82;3.24;843;362;843;362;27.02;27;1;654.29;651;-14;67.55;67.5;2.5;21.22;18.75;25;
92;3.64;870;363;870;363;12.17;12;2;666.45;663;-12;76.03;75;12.5;169.02;156.25;-234.37;
96;3.8;882;365;882;365;4.12;4;-1;670.58;667;-13;103.08;100;-25;-851.1;-781.25;781.25;
97;3.84;886;364;886;364;11.05;11;1;681.62;678;-12;69.03;68.75;6.25;231.45;39.06;-507.81;
101;4;897;365;897;365;4.24;3;-3;685.87;681;-15;106.07;75;-75;-596.5;156.25;2187.5;
102;4.04;900;362;900;362;13.15;13;2;699.02;694;-13;82.21;81.25;12.5;-357.54;-351.56;-78.12;
106;4.2;913;364;913;364;1;1;0;700.02;695;-13;25;25;0;1562.5;1562.5;0;
107;4.24;914;364;914;364;14;14;0;714.02;709;-13;87.5;87.5;0;-325.9;-390.62;-156.25;
111;4.4;928;364;928;364;1.41;1;-1;715.43;710;-14;35.36;25;-25;1309.19;1562.5;781.25;
112;4.44;929;363;929;363;14.04;14;1;729.47;724;-13;87.72;87.5;6.25;-79.52;-546.87;-507.81;
116;4.6;943;364;943;364;3;0;-3;732.47;724;-16;75;0;-75;644.46;2500;2187.5;
117;4.64;943;361;943;361;16.12;16;2;748.59;740;-14;100.78;100;12.5;-317.36;-625;-390.63;
121;4.8;959;363;959;363;2;0;-2;750.59;740;-16;50;0;-50;1140.17;2343.75;1718.75;
122;4.84;959;361;959;361;15.3;15;3;765.89;755;-13;95.61;93.75;18.75;-103.44;-429.69;-585.94;
126;5;974;364;974;364;3.16;1;-3;769.05;756;-16;79.06;25;-75;108.21;1406.25;2343.75;
127;5.04;975;361;975;361;13.34;13;3;782.39;769;-13;83.39;81.25;18.75;141.75;-39.06;-585.94;
131;5.2;988;364;988;364;4.24;3;-3;786.64;772;-16;106.07;75;-75;-904.72;-156.25;2187.5;
132;5.24;991;361;991;361;11.18;11;2;797.82;783;-14;69.88;68.75;12.5;5.21;-117.19;-390.62;
136;5.4;1002;363;1002;363;2.83;2;-2;800.65;785;-16;70.71;50;-50;287.38;781.25;1562.5;
137;5.44;1004;361;1004;361;13.15;13;2;813.8;798;-14;82.21;81.25;12.5;-71.85;-195.31;-390.62;
141;5.6;1017;363;1017;363;2.83;2;-2;816.63;800;-16;70.71;50;-50;232.23;750;1250;
142;5.64;1019;361;1019;361;16;16;0;832.63;816;-16;80;80;0;-75;-75;0;
147;5.84;1035;361;1035;361;13;13;0;845.63;829;-16;65;65;0;25;25;0;
152;6.04;1048;361;1048;361;14;14;0;859.63;843;-16;70;70;0;-25;-25;0;
157;6.24;1062;361;1062;361;13;13;0;872.63;856;-16;65;65;0;81.25;81.25;0;
162;6.44;1075;361;1075;361;13;13;0;885.63;869;-16;81.25;81.25;0;-507.81;-507.81;0;
166;6.6;1088;361;1088;361;0;0;0;885.63;869;-16;0;0;0;2343.75;2343.75;0;
167;6.64;1088;361;1088;361;15;15;0;900.63;884;-16;93.75;93.75;0;-117.19;-117.19;0;
171;6.8;1103;361;1103;361;3;3;0;903.63;887;-16;75;75;0;162.25;156.25;156.25;
172;6.84;1106;361;1106;361;13.04;13;1;916.67;900;-15;81.49;81.25;6.25;-159.93;-195.31;-195.31;
176;7;1119;362;1119;362;2.24;2;-1;918.9;902;-16;55.9;50;-25;328.3;468.75;781.25;
177;7.04;1121;361;1121;361;11.05;11;1;929.95;913;-15;69.03;68.75;6.25;62.65;39.06;-195.31;
181;7.2;1132;362;1132;362;3.16;3;-1;933.11;916;-16;79.06;75;-25;-101.42;0;625;
182;7.24;1135;361;1135;361;12;12;0;945.11;928;-16;75;75;0;-156.25;-156.25;0;
186;7.4;1147;361;1147;361;2;2;0;947.11;930;-16;50;50;0;496.93;468.75;312.5;
187;7.44;1149;361;1149;361;11.18;11;2;958.29;941;-14;69.88;68.75;12.5;207.5;195.31;-234.37;
191;7.6;1160;363;1160;363;4.12;4;-1;962.41;945;-15;103.08;100;-25;-851.1;-781.25;468.75;
192;7.64;1164;362;1164;362;11.05;11;-1;973.46;956;-16;69.03;68.75;-6.25;37.29;39.06;39.06;
196;7.8;1175;361;1175;361;3;3;0;976.46;959;-16;75;75;0;0;0;0;
197;7.84;1178;361;1178;361;0;0;0;0;0;0;0;0;0;0;0;0;
